what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1366066217198
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366066217515
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366066290947
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366066357674
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366066369830
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366066415606
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366066455361
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366066461534
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1366066468410
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1366066478369
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1366066479224
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1366066479928
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1366066480609
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1366066500616
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1366066512659
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366066516380
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366066516549
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366066545197
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366066572299
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366066611872
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366066620229
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366066692725
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366066715204
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366066718296
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366066731897
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366066733390
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366066734221
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366066823874
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366066835136
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1366066918041
